Helena Ribeiro,32,Sumaré,helena.ribeiro@hotmail.com
Joaquim Freitas,30,Araraquara,joaquim.freitas@mail.com
Vitória Queiroz,44,Sorocaba,vitoria.queiroz@icloud.com
Felipe Azevedo,57,Araraquara,felipe.azevedo@yahoo.com
Lucas Monteiro,35,São Caetano do Sul,lucas.monteiro@mail.com
Felipe Mendes,45,Indaiatuba,felipe.mendes@yahoo.com
Laura Machado,53,Sumaré,laura.machado@outlook.com
Helena Queiroz,26,Ribeirão Pires,helena.queiroz@fatec.sp.gov.br
Igor Rodrigues,28,Mauá,igor.rodrigues@icloud.com
Felipe Moraes,29,Ribeirão Preto,felipe.moraes@gmail.com
Natália Nascimento,38,Limeira,natalia.nascimento@icloud.com
Felipe Costa,40,São José do Rio Preto,felipe.costa@outlook.com
Elaine Almeida,23,Indaiatuba,elaine.almeida@hotmail.com
Anderson Barros,24,Campinas,anderson.barros@hotmail.com
Patrícia Peixoto,60,Jundiaí,patricia.peixoto@gmail.com
Fernanda Dias,37,Guarulhos,fernanda.dias@fatec.sp.gov.br
Gustavo Gomes,30,Ribeirão Pires,gustavo.gomes@outlook.com
Rafael Ferreira,43,Sorocaba,rafael.ferreira@outlook.com
Beatriz Oliveira,45,Ribeirão Preto,beatriz.oliveira@hotmail.com
Juliana Costa,32,Itapecerica da Serra,juliana.costa@outlook.com
Bianca Ribeiro,54,Osasco,bianca.ribeiro@mail.com
Carolina Azevedo,28,Franca,carolina.azevedo@gmail.com
Juliana Melo,53,Suzano,juliana.melo@outlook.com
Amanda Nascimento,58,Hortolândia,amanda.nascimento@mail.com
Patrícia Guerra,21,Jundiaí,patricia.guerra@icloud.com
Gabriel Ramos,53,Piracicaba,gabriel.ramos@gmail.com
Helena Marques,27,Suzano,helena.marques@hotmail.com
Rafael Neves,54,Bauru,rafael.neves@gmail.com
Camila Miranda,27,Guarulhos,camila.miranda@mail.com
Marcus Pinto,27,Limeira,marcus.pinto@gmail.com
Beatriz Fonseca,48,São Bernardo do Campo,beatriz.fonseca@gmail.com
Raquel Oliveira,20,Barueri,raquel.oliveira@hotmail.com
Gustavo Barbosa,58,Guarulhos,gustavo.barbosa@gmail.com
Gustavo Costela,49,Ribeirão Preto,gustavo.costela@yahoo.com
Amanda Barbosa,27,Taboão da Serra,amanda.barbosa@mail.com
Aline Pereira,53,Santo André,aline.pereira@gmail.com
Jéssica Neves,31,Sumaré,jessica.neves@icloud.com
Rodrigo Rocha,41,Bauru,rodrigo.rocha@fatec.sp.gov.br
Manuela Moraes,57,Jandira,manuela.moraes@mail.com
Laura Andrade,48,Indaiatuba,laura.andrade@fatec.sp.gov.br
Caio Pinto,56,Hortolândia,caio.pinto@icloud.com
Rafael Moraes,21,Carapicuíba,rafael.moraes@outlook.com
Giovana Andrade,20,Campinas,giovana.andrade@mail.com
Amilton Gonçalves,40,Campinas,amilton.goncalves@outlook.com
Rafael Lima,30,São Paulo,rafael.lima@icloud.com
Sofia Melo,55,Carapicuíba,sofia.melo@fatec.sp.gov.br
Carolina Rocha,35,Jundiaí,carolina.rocha@yahoo.com
Gustavo Pereira,26,Hortolândia,gustavo.pereira@outlook.com
Miguel Melo,24,Ribeirão Preto,miguel.melo@mail.com
Bernardo Mendes,50,Taboão da Serra,bernardo.mendes@yahoo.com
